name,price,condition,source,battery_percentage,battery_status,battery_replaced,storage,ram,has_box,has_charger,has_cable,has_earphones,accessories_complete,is_sim_free,network_restriction,has_scratches,screen_condition,body_condition,camera_condition,has_damage,face_id_working,touch_id_working,fully_functional,has_issues
iPhone13 Pro Max 128GB グラファイト SIMフリー 美品,"69,900 yen",No obvious damages/dirt,mercari,100.0,,True,128GB,,False,False,False,False,False,True,,True,,excellent,,True,True,,True,True
iPhone SE2 128GB ブラック SIMロックなし バッテリー交換済,"12,800 yen",A little damaged/dirty,mercari,100.0,,True,128GB,,False,False,False,False,True,True,none,True,clean,excellent,scratched,True,,True,True,False
iPhone15pro 256GB SIMフリー ホワイトチタニウム,"95,000 yen",No obvious damages/dirt,mercari,,,False,256GB,,False,False,False,False,False,True,,False,clean,excellent,,False,,,False,False
iPhone12pro ゴールド 256GB SIMフリー,"45,000 yen",No obvious damages/dirt,mercari,80.0,,False,256GB,,True,False,False,False,False,True,,True,clean,excellent,,False,,,True,False
iPhone14 SIMフリー,"55,000 YEN",Damaged/dirty,rakuma,82.0,,False,,,False,False,False,False,False,False,,True,scratched,,scratched,False,,,False,True
iPhone 16 Pro 128gb Desert Titanium,"120,000 YEN",Close to unused,rakuma,,,False,128GB,,False,False,False,False,False,False,,False,,,,False,,,False,False
中古 Google Pixel 9 Fold 256GB 黒,"99,980 YEN",A little damaged/dirty,rakuma,,,False,256GB,,False,False,False,False,False,False,,True,,used,,False,,,False,False
【新品・未開封】iPhone 16e 128GB ブラック SIMフリー,"93,000 YEN",New/Unused,rakuma,,,False,128GB,,False,False,False,False,False,True,none,False,,,,False,,,False,False
カメラ抜群！POCOF2pro 5G （redmi k30pro）スナドラ865,"18,400 YEN",No obvious damages/dirt,rakuma,,,False,128GB,,False,True,True,False,False,True,,False,clean,,,False,,,False,False
Apple iPhone SE ローズゴールド 本体,"5,800 YEN",No obvious damages/dirt,rakuma,81.0,,False,,,False,False,False,False,False,False,,False,,,,False,,,False,False
iPhone12promax 本体 ブルー,"56,000 YEN",Damaged/dirty,rakuma,78.0,,True,128GB,,False,False,True,False,False,True,,False,cracked,,,True,,,False,True
富士通 らくらくホン F-42A docomo ブルー,"4,200 YEN",A little damaged/dirty,rakuma,,,False,,,False,False,False,False,False,False,,True,,used,,False,,,False,True
美品 国内版 SIMフリー iPhone12 Pro Max 128GB ブルー,"59,900 YEN",No obvious damages/dirt,rakuma,99.0,,False,128GB,,False,False,False,False,False,True,,True,,excellent,,False,,,True,False
アップル iPhone12 Pro 256GB シルバー SIMフリー,"40,000 YEN",No obvious damages/dirt,rakuma,79.0,,False,256GB,,False,False,False,False,False,True,,True,,,scratched,False,,,False,False
✨️大容量128G SIMフリー iPhone7本体✨,"8,000 YEN",Close to unused,rakuma,84.0,,False,,,False,False,False,False,False,True,,True,cracked,excellent,,False,,,False,False
SHARP AQUOS sense4 SH-41A ライトカッパー,"10,000 YEN",No obvious damages/dirt,rakuma,,,False,64GB,4GB,False,False,False,False,False,True,,False,,,,False,True,True,False,False
新品未開封　17 pro max 256 シルバー,"832,000 YEN",New/Unused,rakuma,,,False,,,False,False,False,False,False,True,,False,,,,False,,,False,False
ASUS　zenfone Max Pro M2  64GB SIMフリー,"4,855 YEN",A little damaged/dirty,rakuma,,,False,,,False,False,False,False,False,False,,False,cracked,,,True,,,False,True
【新品未使用】moto g 05 motorola ミスティブルー,"15,500 YEN",New/Unused,rakuma,,,False,,,False,False,False,False,False,True,,False,,,,False,,,False,False
アップル iPhone13 Pro 256GB グラファイト,"55,500 YEN",A little damaged/dirty,rakuma,,,False,256GB,,True,False,False,False,False,True,,False,,,,False,True,True,False,False
Redmi A5 (3GB/64GB) Midnight Black,"8,900 YEN",Close to unused,rakuma,,,False,,,True,False,False,False,True,False,,True,,good,,False,,,False,False
iPhoneSE第2世代 256GB SIMフリー,"18,500 YEN",No obvious damages/dirt,rakuma,,,True,256GB,,False,False,False,False,False,False,,False,,,,False,,,False,False
iPhone16e 128GB SIMフリー ブラックチタニウム,"93,800 YEN",New/Unused,rakuma,,,False,128GB,,False,False,False,False,False,True,,False,,,,False,,,False,False
iPhone14ProMAX バッテリー79%,"90,000 YEN",No obvious damages/dirt,rakuma,78.0,,True,128GB,,False,False,False,False,False,False,,False,,,,False,,,False,False
iPhone7 128G SIMフリー,"6,500 YEN",No obvious damages/dirt,rakuma,100.0,,False,128GB,,False,False,False,False,False,True,none,False,,,,True,,,True,False
iPhone SE3 (第3世代)　64GB　SIMフリー,"19,000 YEN",No obvious damages/dirt,rakuma,86.0,,False,64GB,,False,False,True,False,False,True,,True,scratched,,scratched,False,,,True,False
アップル iPhone13 mini 128GB SIMフリー　グリーン,"36,000 YEN",No obvious damages/dirt,rakuma,84.0,,True,128GB,,False,False,False,False,False,True,,True,,excellent,,False,False,False,False,False
Galaxy Z Flip6 256GB シルバー ブラックケース付き 元箱有り,"98,500 YEN",No obvious damages/dirt,rakuma,,,False,256GB,,True,False,False,False,False,False,,False,,,,False,,,False,True
【3ヶ月使用】moto g05 フレッシュラベンダー SIMフリースマホ　128,"18,900 YEN",No obvious damages/dirt,rakuma,56.0,,False,128GB,,False,False,False,False,False,True,,True,,excellent,scratched,False,,,False,False
（本体　中古）GALAXY Note 2 SC-02E Marble Whit,"3,500 YEN",Damaged/dirty,rakuma,,,False,,,False,False,False,False,False,True,,False,,,,False,,,False,False
美品 アップルストア版 SIMフリー iPhoneSE 第2世代 128GB,"24,900 YEN",A little damaged/dirty,rakuma,96.0,,True,128GB,,False,False,False,False,False,True,,True,,excellent,,False,,,True,False
iPhone 12 mini パープル 128GB   画面傷無し　箱付き,"19,800 YEN",A little damaged/dirty,rakuma,78.0,,True,128GB,,True,False,True,False,False,False,,True,clean,excellent,working,False,True,,False,False
iPhone 6 本体　ジャンク,"2,222 YEN",In bad condition overall,rakuma,,,False,,,True,False,False,False,False,False,,True,,,,True,,,False,False
Apple iPhone 11proMax シルバー,"50,000 YEN",No obvious damages/dirt,rakuma,,,False,256GB,,True,False,False,True,False,True,,True,clean,used,scratched,False,True,,True,False
iPhone 12 mini 64GB ホワイト,"19,800 YEN",No obvious damages/dirt,rakuma,73.0,,False,64GB,,False,False,True,False,False,True,,True,cracked,,,True,True,,True,False
iPhone 12 mini 64GB ホワイト,"19,800 YEN",No obvious damages/dirt,rakuma,70.0,,False,64GB,,False,False,True,False,False,True,,True,cracked,,,True,True,,True,False
シャープ ロボホン SR-03M-T モバイル型 ロボット ホビー SHARP RoBoHon IT3BH1UY1WQZ -D-V38-byebye,"40,000 YEN",No obvious damages/dirt,rakuma,,,False,,,False,False,False,False,True,False,,False,,used,,False,,,True,False
ジャンク SHARP AQUOS sense lite SH-M05 SIMフリ,900 YEN,A little damaged/dirty,rakuma,,,False,,,False,False,False,False,False,True,,False,,used,,True,,,False,True
iPhone12mini 64GB ブラック,"16,980 YEN",Damaged/dirty,rakuma,,,False,,,False,False,False,False,False,False,,True,,used,,False,,,False,True
訳あり アップル iPhoneSE 第3世代 64GB ミッドナイト,"14,500 YEN",In bad condition overall,rakuma,,,False,64GB,,False,False,False,False,False,False,,True,,,,False,,,False,True
中古スマホ　Redmi12 5G シムフリー　ブラック　UQ店舗購入,"10,000 YEN",No obvious damages/dirt,rakuma,,,False,128GB,4GB,False,True,False,True,False,True,,True,clean,used,,True,,,False,False
Android スマートホン　タブレット　ジャンク品,"10,000 YEN",In bad condition overall,rakuma,,,False,,,False,False,False,False,False,False,,False,cracked,,,True,,,False,True
iPhone 11 pro 256 GB ゴールド,"22,000 YEN",Damaged/dirty,rakuma,,,False,,,False,False,False,False,False,True,,True,,used,,False,,,False,True
iPhone  スマートホン　ジャンク品　まとめて,"15,000 YEN",In bad condition overall,rakuma,,,False,,,False,False,False,False,False,False,,False,cracked,,,True,,,False,True
美品今年の2月に外装交換 Galaxy Z Fold 3/ペン、未使用ケース含めおまけ多数,"42,000 YEN",No obvious damages/dirt,yahooauction,,,False,256GB,12GB,True,False,False,False,False,False,,False,,excellent,,False,,,False,False
★極美品★ Xiaomi Redmi Note 13 Pro 5G XIG05 オーロラパープル 8GB/256GB au版 SIMフリー,"24,800 YEN",No obvious damages/dirt,yahooauction,,,False,,,True,False,False,False,False,True,none,False,,excellent,,False,,,False,False
技適無し Xiaomi mi9 Piano Black 6GB RAM 128GB ROM GlobalVer おまけ付き 美品,"5,000 YEN",No obvious damages/dirt,yahooauction,,,False,,,False,False,False,False,False,False,,False,,,,False,,,False,False
★中古美品 Apple iPhone11 128GB SIMフリー レッド RED,"20,000 YEN",A little damaged/dirty,yahooauction,,degraded,False,128GB,,False,False,False,False,False,True,,True,cracked,excellent,,True,,,False,True
iPhone 14 Pro Max 128GB ゴールド SIMフリー 訳あり品 ジャンク 中古本体 スマホ スマートフォン 白ロム [出品ID：48289],"46,000 YEN",In bad condition overall,yahooauction,83.0,degraded,True,128GB,,False,False,False,False,False,True,,True,cracked,,scratched,True,,,True,True
美品 SO-02K Xperia XZ1 Compact,"2,580 YEN",A little damaged/dirty,yahooauction,,,False,,,False,False,False,False,False,False,none,False,,,,False,,,False,False
nubia Flip 5G 新品未開封,"20,000 YEN",Unused,yahooauction,,,False,256GB,8GB,False,False,False,False,False,False,,False,,,,False,,,False,False
docomo シャープ AQUOS wish5 SH-52F MISORA　利用制限◯,"16,500 YEN",Unused,yahooauction,,,False,,,False,False,False,False,False,False,none,False,,,,False,,,False,False
2025年9月15日購入　中古美品☆ほぼ未使用　Xiaomi POCO F7 Pro 12GB/256GB ブルー 24117RK2CG （Snapdragon 8 Gen 3搭載）送料無料,"46,000 YEN",Close to unused,yahooauction,,,False,512GB,12GB,False,False,False,False,True,False,,False,,excellent,,False,,,False,False
iPhone13mini 美品　 SIMフリー ブラック mini,"38,000 YEN",No obvious damages/dirt,yahooauction,81.0,,False,128GB,,True,False,False,False,False,True,none,True,clean,excellent,,False,,,False,False
SIMフリー iPhoneSE3 128GB Product Red シムフリー アイフォンSE iPhone SE 3 第三世代 第3世代 赤 レッド 本体 SIMロックなし A2782,"23,500 YEN",A little damaged/dirty,yahooauction,,,False,128GB,,False,False,False,False,False,True,,True,scratched,used,,False,,True,False,True
xiaomi Redmi turbo4,"26,000 YEN",No obvious damages/dirt,yahooauction,,,False,256GB,12GB,False,False,False,False,False,False,,True,,used,,False,,,False,False
[ジャンク]SIMフリー ワイモバイル Xperia Ace III SO-53C ブラック スマートフォン本体,"1,450 YEN",Damaged/dirty,yahooauction,,,False,64GB,4GB,False,False,False,False,False,False,,True,cracked,,,True,,,False,True
iPhone12 mini 256G SIMフリー Apple White ホワイト 美品　初期化済み,"20,000 YEN",No obvious damages/dirt,yahooauction,,,True,256GB,,False,False,False,False,False,True,,False,,used,,False,True,False,True,True
docomo AQUOS sense6 SH-54B RAM:4GB ROM:64GB / 初期化済 / 動作OK,"4,950 YEN",Damaged/dirty,yahooauction,,,False,64GB,4GB,False,False,True,False,False,False,,True,,used,,True,,,True,True
オレンジモデル 256GB 8GB(+6GB～16GB) 新品！徹底サポート 位置偽装可能端末 5画面起動可 CMF Phone 2 Pro ポケモンGO 無広告 モンハンnow,"47,800 YEN",Close to unused,yahooauction,,,False,128GB,8GB,False,False,False,False,True,True,,False,,,,False,True,,True,False
キズ無美品 SO-02J Xperia X Compact,"2,480 YEN",No obvious damages/dirt,yahooauction,,,False,,,False,False,False,False,False,False,none,False,,,,False,,,False,False
iPhone SE 第3世代　 64GB ホワイト Apple SIMフリー,"18,900 YEN",No obvious damages/dirt,yahooauction,,,False,,,True,False,False,False,False,True,,True,,excellent,,False,,,False,False
Google Pixel 7 6.3インチ メモリー8GB ストレージ256GB SIMフリー,"20,000 YEN",Damaged/dirty,yahooauction,,,False,256GB,8GB,False,False,False,False,False,True,,True,scratched,used,,False,,,False,True
スマホ入門＆お財布携帯 AQUOS sense3 SH-M12 SIMフリー 357982103629232,"4,680 YEN",A little damaged/dirty,yahooauction,,,False,,,False,False,False,False,False,False,,True,,,working,False,,,True,False
